name_of_city,state_name,population_total,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_female,total_graduates
Hisar ,HARYANA,301249,844,81.04,75,49148
Hoshangabad ,MADHYA PRADESH,117956,915,87.97,82.26,18980
Hoshiarpur ,PUNJAB,168443,908,89.11,86.3,26629
Hospet ,KARNATAKA,206159,1003,80.02,73.23,17556
Hosur ,TAMIL NADU,116821,966,88.24,84.79,15530
Hubli-Dharwad ,KARNATAKA,943857,983,87.28,82.83,113864
Hugli-Chinsurah ,WEST BENGAL,177209,992,91.94,89.16,31236
Ichalkaranji ,MAHARASHTRA,287570,921,87.85,81.6,22644
Imphal ,MANIPUR ,264986,1055,91.7,87.8,63915
Indore ,MADHYA PRADESH,1960631,921,87.38,82.55,313525
Jabalpur ,MADHYA PRADESH,1054336,929,88.9,84.88,169711
Jagadhri ,HARYANA,124915,844,85.79,81.96,18738
Jagdalpur ,CHHATTISGARH,125345,961,85.44,79.16,16223
Jaipur ,RAJASTHAN,3073350,898,84.34,77.41,533148
Jalandhar ,PUNJAB,862196,882,85.5,82.69,128924
Jalgaon ,MAHARASHTRA,460468,909,88.96,84.26,55315
Jalna ,MAHARASHTRA,285349,932,84.61,77.74,23959
Jalpaiguri ,WEST BENGAL,107351,997,91.11,88.56,20252
Jamalpur ,BIHAR,105221,871,87.38,81.4,10638
Jammu ,JAMMU & KASHMIR,503690,898,89.66,85.82,121564
Jamnagar ,GUJARAT,529308,916,82.58,77.83,52049
Jamshedpur ,JHARKHAND,629659,920,87.5,82.47,110962
Jamuria ,WEST BENGAL,144971,918,73.11,63.68,5436
Jaunpur ,UTTAR PRADESH,168128,895,82.11,77.98,24871
Jehanabad ,BIHAR,102456,867,79.66,73.97,8901
Jetpur Navagadh ,GUJARAT,118550,902,83.86,77.92,8846
Jhansi ,UTTAR PRADESH,507293,892,83.81,77.81,78757
Jhunjhunun ,RAJASTHAN,118966,922,74.4,63.22,10403
Jind ,HARYANA,166225,877,83.63,75.43,21508
Jodhpur ,RAJASTHAN,1033918,900,81.56,73.93,140922
Junagadh ,GUJARAT,320250,952,88.63,83.83,36910
Kadapa ,ANDHRA PRADESH,341823,990,79.38,72.54,41997
Kaithal ,HARYANA,144633,887,80.76,73.07,18095
Kakinada ,ANDHRA PRADESH,312255,1046,81.23,77.76,47823
Kalol ,GUJARAT,112126,888,88.69,83.18,14208
Kalyani ,WEST BENGAL,100620,978,88.75,84.63,17457
Kamarhati ,WEST BENGAL,336579,925,88.22,85.43,50367
Kancheepuram ,TAMIL NADU,164265,1003,88.35,83.59,18625
Kanchrapara ,WEST BENGAL,122181,978,90.8,87.02,13808
Kanpur ,UTTAR PRADESH,2767031,842,84.14,82.21,459611
Kanpur City,UTTAR PRADESH,108035,847,79.65,75.23,12635
Karaikkudi ,TAMIL NADU,106793,999,91.25,87.19,11778
Karawal Nagar ,NCT OF DELHI,224666,868,84.57,76.36,14478
Karimnagar ,ANDHRA PRADESH,260899,980,86.75,80.79,52034
Karnal ,HARYANA,286974,892,86.32,81.64,52911
