date,AQI
2015-01-01,166.4635814889336
2015-02-01,166.4635814889336
2015-03-01,153.71843967027974
2015-04-01,113.73333333333333
2015-05-01,102.7741935483871
2015-06-01,108.3
2015-07-01,160.5483870967742
2015-08-01,134.8709677419355
2015-09-01,98.36666666666666
2015-10-01,105.3225806451613
2015-11-01,83.93333333333334
2015-12-01,97.45161290322581
2016-01-01,134.32258064516128
2016-02-01,143.89655172413794
2016-03-01,145.58064516129033
2016-04-01,122.0
2016-05-01,67.87096774193549
2016-06-01,76.49757209926224
2016-07-01,104.86391899785812
2016-08-01,87.55629259427533
2016-09-01,72.33333333333333
2016-10-01,116.61290322580645
2016-11-01,110.7
2016-12-01,115.38709677419355
2017-01-01,114.61290322580645
2017-02-01,119.17857142857143
2017-03-01,81.19354838709677
2017-04-01,92.0
2017-05-01,66.96774193548387
2017-06-01,59.7
2017-07-01,96.88592198351398
2017-08-01,83.0
2017-09-01,72.46666666666667
2017-10-01,89.6774193548387
2017-11-01,77.23333333333333
2017-12-01,96.6774193548387
2018-01-01,97.58064516129032
2018-02-01,81.0
2018-03-01,97.70732783799572
2018-04-01,91.09757209926224
2018-05-01,92.29032258064517
2018-06-01,66.93333333333334
2018-07-01,61.774193548387096
2018-08-01,62.83870967741935
2018-09-01,76.16666666666667
2018-10-01,94.70967741935483
2018-11-01,104.2
2018-12-01,119.0
2019-01-01,116.80645161290323
2019-02-01,106.25
2019-03-01,122.12903225806451
2019-04-01,124.3
2019-05-01,105.38709677419355
2019-06-01,70.53333333333333
2019-07-01,63.74193548387097
2019-08-01,59.354838709677416
2019-09-01,72.96666666666667
2019-10-01,81.12903225806451
2019-11-01,96.2
2019-12-01,81.7741935483871
2020-01-01,95.3225806451613
2020-02-01,96.48275862068965
2020-03-01,90.74193548387096
2020-04-01,68.53333333333333
2020-05-01,73.16129032258064
2020-06-01,55.166666666666664
2020-07-01,43.0
