date,AQI
2015-01-01,342.2903225806452
2015-02-01,327.92857142857144
2015-03-01,256.06451612903226
2015-04-01,305.26666666666665
2015-05-01,348.5806451612903
2015-06-01,258.3333333333333
2015-07-01,200.29032258064515
2015-08-01,218.06451612903226
2015-09-01,225.3
2015-10-01,325.0
2015-11-01,405.03333333333336
2015-12-01,355.3225806451613
2016-01-01,441.9032258064516
2016-02-01,312.44827586206895
2016-03-01,230.09677419354838
2016-04-01,290.6666666666667
2016-05-01,268.35483870967744
2016-06-01,243.73333333333332
2016-07-01,165.0149542415785
2016-08-01,147.41935483870967
2016-09-01,218.7
2016-10-01,411.06451612903226
2016-11-01,474.8333333333333
2016-12-01,409.2903225806452
2017-01-01,354.19354838709677
2017-02-01,343.92857142857144
2017-03-01,282.258064516129
2017-04-01,316.8
2017-05-01,315.4193548387097
2017-06-01,145.48211938296444
2017-07-01,67.16129032258064
2017-08-01,93.6357629648861
2017-09-01,114.66666666666667
2017-10-01,284.16129032258067
2017-11-01,406.73333333333335
2017-12-01,337.1290322580645
2018-01-01,349.741935483871
2018-02-01,289.17857142857144
2018-03-01,234.1290322580645
2018-04-01,245.53333333333333
2018-05-01,235.32258064516128
2018-06-01,224.36666666666667
2018-07-01,112.41935483870968
2018-08-01,122.06451612903226
2018-09-01,121.93333333333334
2018-10-01,290.4193548387097
2018-11-01,367.06666666666666
2018-12-01,400.38709677419354
2019-01-01,365.741935483871
2019-02-01,258.17857142857144
2019-03-01,197.3548387096774
2019-04-01,219.4
2019-05-01,235.83870967741936
2019-06-01,197.76666666666668
2019-07-01,145.09677419354838
2019-08-01,99.29032258064517
2019-09-01,106.53333333333333
2019-10-01,251.0
2019-11-01,356.1
2019-12-01,353.9032258064516
2020-01-01,308.4516129032258
2020-02-01,262.13793103448273
2020-03-01,135.83870967741936
2020-04-01,113.0
2020-05-01,148.6451612903226
2020-06-01,125.73333333333333
2020-07-01,101.0
