date,AQI
2015-01-01,166.4635814889336
2015-02-01,166.4635814889336
2015-03-01,201.17005257350556
2015-04-01,120.18211938296444
2015-05-01,137.0
2015-06-01,149.66666666666666
2015-07-01,126.56334133835269
2015-08-01,105.51612903225806
2015-09-01,130.46666666666667
2015-10-01,240.2258064516129
2015-11-01,397.76666666666665
2015-12-01,388.06451612903226
2016-01-01,362.51612903225805
2016-02-01,322.3448275862069
2016-03-01,217.51612903225808
2016-04-01,238.63333333333333
2016-05-01,183.86712533264102
2016-06-01,154.9439302481556
2016-07-01,123.51142986953982
2016-08-01,109.99295125592263
2016-09-01,105.7
2016-10-01,245.03225806451613
2016-11-01,385.6333333333333
2016-12-01,389.3225806451613
2017-01-01,330.5806451612903
2017-02-01,296.39285714285717
2017-03-01,247.06451612903226
2017-04-01,249.5
2017-05-01,252.2258064516129
2017-06-01,177.0796914822267
2017-07-01,77.29032258064517
2017-08-01,96.45161290322581
2017-09-01,105.86666666666666
2017-10-01,259.06451612903226
2017-11-01,383.1333333333333
2017-12-01,374.48387096774195
2018-01-01,377.96774193548384
2018-02-01,317.7142857142857
2018-03-01,236.48387096774192
2018-04-01,180.83333333333334
2018-05-01,255.6451612903226
2018-06-01,174.93333333333334
2018-07-01,97.41935483870968
2018-08-01,100.03225806451613
2018-09-01,107.6
2018-10-01,264.61290322580646
2018-11-01,351.6
2018-12-01,344.6774193548387
2019-01-01,315.51612903225805
2019-02-01,243.07142857142858
2019-03-01,217.6451612903226
2019-04-01,217.7
2019-05-01,184.09677419354838
2019-06-01,167.7
2019-07-01,94.41935483870968
2019-08-01,90.3225806451613
2019-09-01,76.63333333333334
2019-10-01,205.38709677419354
2019-11-01,329.3666666666667
2019-12-01,292.19354838709677
2020-01-01,272.64516129032256
2020-02-01,216.6551724137931
2020-03-01,134.0
2020-04-01,106.73333333333333
2020-05-01,119.09677419354838
2020-06-01,96.5
2020-07-01,76.0
