date,AQI
2015-01-01,224.8223729892812
2015-02-01,224.8223729892812
2015-03-01,224.8223729892812
2015-04-01,224.8223729892812
2015-05-01,224.8223729892812
2015-06-01,166.4635814889336
2015-07-01,166.4635814889336
2015-08-01,166.4635814889336
2015-09-01,166.4635814889336
2015-10-01,208.06772246381513
2015-11-01,371.0
2015-12-01,407.93548387096774
2016-01-01,435.80645161290323
2016-02-01,287.7695830153334
2016-03-01,233.0275589017979
2016-04-01,186.28211938296445
2016-05-01,189.67741935483872
2016-06-01,155.3390744466801
2016-07-01,127.94338936846889
2016-08-01,125.25806451612904
2016-09-01,146.89757209926222
2016-10-01,261.4146556759914
2016-11-01,390.7487860496311
2016-12-01,388.9008762250925
2017-01-01,346.09442461218924
2017-02-01,226.52885886749067
2017-03-01,243.23371194911405
2017-04-01,200.94481556002683
2017-05-01,166.4635814889336
2017-06-01,166.4635814889336
2017-07-01,166.4635814889336
2017-08-01,166.4635814889336
2017-09-01,166.4635814889336
2017-10-01,183.54454468747974
2017-11-01,336.3975720992622
2017-12-01,383.6900240150581
2018-01-01,362.17624456415916
2018-02-01,305.2665564817476
2018-03-01,272.3225806451613
2018-04-01,202.4
2018-05-01,169.1290322580645
2018-06-01,147.46666666666667
2018-07-01,95.12903225806451
2018-08-01,103.70967741935483
2018-09-01,125.08211938296445
2018-10-01,249.90322580645162
2018-11-01,367.2
2018-12-01,399.1117284351269
2019-01-01,405.2903225806452
2019-02-01,296.10714285714283
2019-03-01,214.03225806451613
2019-04-01,151.1
2019-05-01,170.80645161290323
2019-06-01,137.34878604963112
2019-07-01,95.58064516129032
2019-08-01,111.85366391899785
2019-09-01,107.06666666666666
2019-10-01,205.44691374050757
2019-11-01,362.1333333333333
2019-12-01,356.1290322580645
2020-01-01,262.83870967741933
2020-02-01,201.20689655172413
2020-03-01,158.41935483870967
2020-04-01,131.16666666666666
2020-05-01,138.51612903225808
2020-06-01,82.36666666666666
2020-07-01,98.0
