date,AQI
2015-01-01,166.4635814889336
2015-02-01,166.4635814889336
2015-03-01,198.2920360874927
2015-04-01,175.5487860496311
2015-05-01,176.1290322580645
2015-06-01,152.2
2015-07-01,164.06451612903226
2015-08-01,122.61290322580645
2015-09-01,120.73333333333333
2015-10-01,143.58064516129033
2015-11-01,120.63333333333334
2015-12-01,126.30292724086453
2016-01-01,143.83870967741936
2016-02-01,155.41379310344828
2016-03-01,155.06451612903226
2016-04-01,133.16666666666666
2016-05-01,129.25806451612902
2016-06-01,125.90088531187124
2016-07-01,95.40205101577205
2016-08-01,134.74193548387098
2016-09-01,184.93333333333334
2016-10-01,151.0149542415785
2016-11-01,140.93333333333334
2016-12-01,143.99615759070554
2017-01-01,124.41935483870968
2017-02-01,120.35714285714286
2017-03-01,110.64516129032258
2017-04-01,105.6
2017-05-01,121.58064516129032
2017-06-01,83.61545271629778
2017-07-01,102.0
2017-08-01,102.33518530538066
2017-09-01,88.43333333333334
2017-10-01,104.87096774193549
2017-11-01,92.13333333333334
2017-12-01,106.41935483870968
2018-01-01,153.70967741935485
2018-02-01,116.14285714285714
2018-03-01,108.74193548387096
2018-04-01,69.16666666666667
2018-05-01,82.80645161290323
2018-06-01,96.86666666666666
2018-07-01,93.3225806451613
2018-08-01,86.48387096774194
2018-09-01,96.46666666666667
2018-10-01,104.03225806451613
2018-11-01,118.83333333333333
2018-12-01,139.03225806451613
2019-01-01,131.0
2019-02-01,118.07142857142857
2019-03-01,101.41935483870968
2019-04-01,87.53333333333333
2019-05-01,103.61290322580645
2019-06-01,112.66666666666667
2019-07-01,88.70967741935483
2019-08-01,85.54838709677419
2019-09-01,103.63333333333334
2019-10-01,102.90322580645162
2019-11-01,121.96666666666667
2019-12-01,80.16129032258064
2020-01-01,87.51612903225806
2020-02-01,78.13793103448276
2020-03-01,70.29032258064517
2020-04-01,63.5
2020-05-01,78.6774193548387
2020-06-01,103.06666666666666
2020-07-01,92.0
