date,AQI
2015-01-01,184.25742844161746
2015-02-01,482.6925265881
2015-03-01,394.1738949828
2015-04-01,284.94393024815565
2015-05-01,260.3375348867398
2015-06-01,207.06666666666666
2015-07-01,168.88592198351398
2015-08-01,223.96774193548387
2015-09-01,245.5796914822267
2015-10-01,433.2557149347699
2015-11-01,211.4863179074447
2015-12-01,166.4635814889336
2016-01-01,166.4635814889336
2016-02-01,166.4635814889336
2016-03-01,166.4635814889336
2016-04-01,166.4635814889336
2016-05-01,166.4635814889336
2016-06-01,175.85055667337357
2016-07-01,316.1046796910495
2016-08-01,310.287972999286
2016-09-01,223.5796914822267
2016-10-01,321.2407606931914
2016-11-01,197.20177062374248
2016-12-01,166.4635814889336
2017-01-01,166.4635814889336
2017-02-01,166.4635814889336
2017-03-01,166.4635814889336
2017-04-01,166.4635814889336
2017-05-01,166.4635814889336
2017-06-01,166.4635814889336
2017-07-01,166.4635814889336
2017-08-01,166.4635814889336
2017-09-01,166.4635814889336
2017-10-01,306.6366197183099
2017-11-01,711.7309054325956
2017-12-01,371.80645161290323
2018-01-01,675.2085026286753
2018-02-01,877.3188272492096
2018-03-01,781.2258064516129
2018-04-01,556.2666666666667
2018-05-01,312.8041020315441
2018-06-01,430.5
2018-07-01,453.80645161290323
2018-08-01,465.51612903225805
2018-09-01,518.51302481556
2018-10-01,681.3870967741935
2018-11-01,955.3666666666667
2018-12-01,665.3870967741935
2019-01-01,755.516129032258
2019-02-01,560.5357142857143
2019-03-01,601.741935483871
2019-04-01,586.81302481556
2019-05-01,373.0425131433764
2019-06-01,395.1333333333333
2019-07-01,470.40205101577203
2019-08-01,516.8709677419355
2019-09-01,436.1796914822267
2019-10-01,606.660115531901
2019-11-01,451.0
2019-12-01,293.5483870967742
2020-01-01,277.64046212760434
2020-02-01,547.6896551724138
2020-03-01,273.885921983514
2020-04-01,120.73333333333333
2020-05-01,128.67741935483872
2020-06-01,101.96423876592891
2020-07-01,119.0
