date,AQI
2015-01-01,217.22797463758127
2015-02-01,217.2279746375813
2015-03-01,217.22797463758127
2015-04-01,217.22797463758127
2015-05-01,217.22797463758127
2015-06-01,217.22797463758127
2015-07-01,217.22797463758127
2015-08-01,217.22797463758127
2015-09-01,217.22797463758127
2015-10-01,217.22797463758127
2015-11-01,210.45938888442825
2015-12-01,166.4635814889336
2016-01-01,171.90258973194003
2016-02-01,202.99338097550822
2016-03-01,247.4131628480561
2016-04-01,225.03907444668008
2016-05-01,201.74193548387098
2016-06-01,176.35209926224013
2016-07-01,128.5445446874797
2016-08-01,113.07007204517427
2016-09-01,117.19271629778673
2016-10-01,182.831660933342
2016-11-01,341.3154527162978
2016-12-01,358.3997014344129
2017-01-01,358.47917180502367
2017-02-01,299.4425265881
2017-03-01,213.98034659570325
2017-04-01,315.56666666666666
2017-05-01,301.73253715843447
2017-06-01,323.2642387659289
2017-07-01,259.2809242552087
2017-08-01,144.55864217563445
2017-09-01,144.93333333333334
2017-10-01,250.32023106380217
2017-11-01,372.8
2017-12-01,296.75688972544947
2018-01-01,343.4516129032258
2018-02-01,256.86329405001436
2018-03-01,188.90322580645162
2018-04-01,185.85695506371565
2018-05-01,215.143986499643
2018-06-01,261.93333333333334
2018-07-01,105.09677419354838
2018-08-01,131.25806451612902
2018-09-01,145.8748356807512
2018-10-01,306.64516129032256
2018-11-01,324.7
2018-12-01,291.1290322580645
2019-01-01,291.4193548387097
2019-02-01,184.39285714285714
2019-03-01,150.48387096774192
2019-04-01,213.63333333333333
2019-05-01,219.4516129032258
2019-06-01,199.58211938296444
2019-07-01,114.09677419354838
2019-08-01,66.19354838709677
2019-09-01,88.56666666666666
2019-10-01,215.3548387096774
2019-11-01,311.06666666666666
2019-12-01,287.48387096774195
2020-01-01,242.2258064516129
2020-02-01,197.13793103448276
2020-03-01,122.03225806451613
2020-04-01,111.16666666666667
2020-05-01,146.80645161290323
2020-06-01,132.73333333333332
2020-07-01,157.0
